Year,Geo_Level,State_ANSI,Commodity_ID,Quantity
2015,STATE,15,2,"16,32,000"
2015,STATE,16,2,"28,48,000"
2015,STATE,17,2,"4,08,000"
2015,STATE,18,2,"3,18,000"
2015,STATE,19,2,"18,00,000"
2015,STATE,20,2,"2,88,000"
2015,STATE,21,2,"2,30,000"
2015,STATE,22,2,"43,56,000"
2015,STATE,23,2,"4,70,000"
2015,STATE,26,2,"52,20,000"
2015,STATE,27,2,"82,96,000"
2015,STATE,28,2,"12,45,000"
2015,STATE,29,2,"5,20,000"
2015,STATE,30,2,"1,21,18,000"
2015,STATE,31,2,"27,36,000"
2015,STATE,34,2,"3,24,000"
2015,STATE,36,2,"35,96,000"
2015,STATE,37,2,"5,40,000"
2015,STATE,38,2,"3,62,60,000"
2015,STATE,39,2,"8,50,000"
2015,STATE,41,2,"26,98,000"
2015,STATE,,2,"11,68,000"
2015,STATE,42,2,"9,01,000"
2015,STATE,45,2,"9,38,000"
2015,STATE,46,2,"1,91,40,000"
2015,STATE,47,2,"4,13,000"
2015,STATE,48,2,"83,16,000"
2015,STATE,49,2,"11,34,000"
2015,STATE,50,2,"2,60,000"
2015,STATE,51,2,"1,85,000"
2015,STATE,53,2,"32,12,000"
2015,STATE,54,2,"1,75,000"
2015,STATE,55,2,"34,84,000"
2015,STATE,56,2,"29,26,000"
2014,STATE,1,2,"3,71,000"
2014,STATE,4,2,"10,14,000"
2014,STATE,5,2,"13,65,000"
2014,STATE,6,2,"1,24,80,000"
2014,STATE,8,2,"9,99,000"
2014,STATE,12,2,"1,47,00,000"
2014,STATE,13,2,"45,26,000"
2014,STATE,15,2,"13,95,000"
2014,STATE,16,2,"34,00,000"
2014,STATE,17,2,"3,92,000"
2014,STATE,18,2,"3,10,000"
2014,STATE,19,2,"15,05,000"
2014,STATE,20,2,"5,25,000"
2014,STATE,21,2,"2,35,000"
2014,STATE,22,2,"40,32,000"
2014,STATE,23,2,"3,76,000"
2014,STATE,26,2,"57,33,000"
2014,STATE,27,2,"79,20,000"
2014,STATE,28,2,"22,40,000"
2014,STATE,29,2,"5,64,000"
2014,STATE,30,2,"1,42,56,000"
2014,STATE,31,2,"37,50,000"
2014,STATE,34,2,"3,60,000"
2014,STATE,36,2,"33,00,000"
2014,STATE,37,2,"5,16,000"
2014,STATE,38,2,"4,21,40,000"
2014,STATE,39,2,"9,15,000"
2014,STATE,41,2,"28,40,000"
2014,STATE,,2,"14,04,000"
2014,STATE,42,2,"7,82,000"
2014,STATE,45,2,"4,86,000"
2014,STATE,46,2,"2,43,60,000"
2014,STATE,47,2,"4,41,000"
2014,STATE,48,2,"90,48,000"
2014,STATE,49,2,"8,12,000"
2014,STATE,50,2,"2,32,000"
2014,STATE,51,2,"2,28,000"
2014,STATE,53,2,"29,92,000"
2014,STATE,54,2,"1,86,000"
2014,STATE,55,2,"28,62,000"
2014,STATE,56,2,"23,18,000"
2013,STATE,1,2,"3,64,000"
2013,STATE,4,2,"10,44,000"
2013,STATE,5,2,"13,20,000"
2013,STATE,6,2,"1,08,90,000"
2013,STATE,8,2,"11,18,000"
2013,STATE,12,2,"1,34,20,000"
2013,STATE,13,2,"33,50,000"
2013,STATE,15,2,"10,79,000"
2013,STATE,16,2,"26,56,000"
2013,STATE,17,2,"3,36,000"
2013,STATE,18,2,"2,82,000"
2013,STATE,19,2,"18,72,000"
2013,STATE,20,2,"2,76,000"
2013,STATE,21,2,"1,23,000"
2013,STATE,22,2,"49,00,000"
2013,STATE,23,2,"3,01,000"
2013,STATE,26,2,"46,75,000"
2013,STATE,27,2,"75,40,000"
2013,STATE,28,2,"19,72,000"
2013,STATE,29,2,"4,70,000"
2013,STATE,30,2,"1,49,46,000"
2013,STATE,31,2,"27,60,000"
2013,STATE,34,2,"4,84,000"
2013,STATE,36,2,"26,40,000"
2013,STATE,37,2,"3,80,000"
2013,STATE,38,2,"3,31,20,000"
2013,STATE,39,2,"7,65,000"
2013,STATE,41,2,"21,70,000"
2013,STATE,,2,"12,95,000"
2013,STATE,42,2,"5,85,000"
2013,STATE,46,2,"1,48,40,000"
2013,STATE,47,2,"3,15,000"
2013,STATE,48,2,"62,54,000"
2013,STATE,49,2,"10,20,000"
2013,STATE,50,2,"2,04,000"
2013,STATE,51,2,"1,75,000"
2013,STATE,53,2,"26,91,000"
2013,STATE,54,2,"2,76,000"
2013,STATE,55,2,"35,40,000"
2013,STATE,56,2,"31,02,000"
2012,STATE,1,2,"4,32,000"
2012,STATE,4,2,"10,12,000"
2012,STATE,5,2,"15,75,000"
2012,STATE,6,2,"1,15,50,000"
2012,STATE,8,2,"12,00,000"
2012,STATE,12,2,"1,23,52,000"
2012,STATE,13,2,"30,09,000"
2012,STATE,15,2,"7,50,000"
2012,STATE,16,2,"29,44,000"
2012,STATE,17,2,"4,27,000"
2012,STATE,18,2,"4,72,000"
2012,STATE,19,2,"22,57,000"
2012,STATE,20,2,"3,30,000"
2012,STATE,21,2,"2,55,000"
2012,STATE,22,2,"35,26,000"
2012,STATE,23,2,"1,36,000"
2012,STATE,26,2,"41,61,000"
2012,STATE,27,2,"83,75,000"
2012,STATE,28,2,"21,24,000"
2012,STATE,29,2,"3,71,000"
2012,STATE,30,2,"75,40,000"
2012,STATE,31,2,"27,95,000"
2012,STATE,34,2,"4,62,000"
2012,STATE,35,2,"2,60,000"
2012,STATE,36,2,"26,01,000"
2012,STATE,37,2,"5,07,000"
2012,STATE,38,2,"3,31,20,000"
2012,STATE,39,2,"10,80,000"
2012,STATE,41,2,"19,20,000"
2012,STATE,,2,"13,89,000"
2012,STATE,42,2,"9,60,000"
2012,STATE,46,2,"1,63,80,000"
2012,STATE,47,2,"3,66,000"
2012,STATE,48,2,"47,84,000"
2012,STATE,49,2,"9,50,000"
2012,STATE,50,2,"2,40,000"
2012,STATE,51,2,"1,64,000"
2012,STATE,53,2,"25,42,000"
2012,STATE,54,2,"2,88,000"
2012,STATE,55,2,"41,40,000"
2012,STATE,56,2,"25,50,000"
2011,STATE,1,2,"4,50,000"
2011,STATE,4,2,"12,19,000"
2011,STATE,5,2,"14,08,000"
2011,STATE,6,2,"1,77,60,000"
2011,STATE,8,2,"17,05,000"
2011,STATE,12,2,"1,09,80,000"
2011,STATE,13,2,"27,95,000"
2011,STATE,15,2,"6,66,000"
2011,STATE,16,2,"31,32,000"
2011,STATE,17,2,"3,50,000"
2011,STATE,18,2,"4,08,000"
2011,STATE,19,2,"15,50,000"
2011,STATE,20,2,"3,08,000"
2011,STATE,21,2,"1,56,000"
2011,STATE,22,2,"27,72,000"
2011,STATE,23,2,"1,20,000"
2011,STATE,26,2,"47,36,000"
2011,STATE,27,2,"63,60,000"
2011,STATE,28,2,"20,70,000"
2011,STATE,29,2,"3,44,000"
2011,STATE,30,2,"1,33,40,000"
2011,STATE,31,2,"24,19,000"
2011,STATE,34,2,"4,51,000"
2011,STATE,35,2,"3,92,000"
2011,STATE,36,2,"27,44,000"
2011,STATE,37,2,"8,68,000"
2011,STATE,38,2,"3,26,60,000"
2011,STATE,39,2,"9,90,000"
2011,STATE,41,2,"20,40,000"
2011,STATE,,2,"11,56,000"
2011,STATE,42,2,"10,56,000"
2011,STATE,46,2,"1,65,00,000"
2011,STATE,47,2,"3,08,000"
2011,STATE,48,2,"45,24,000"
2011,STATE,49,2,"8,97,000"
2011,STATE,50,2,"1,72,000"
2011,STATE,51,2,"1,60,000"
2011,STATE,53,2,"26,98,000"
2011,STATE,54,2,"2,12,000"
2011,STATE,55,2,"35,91,000"
2011,STATE,56,2,"18,90,000"
2010,STATE,1,2,"4,86,000"
2010,STATE,4,2,"18,48,000"
2010,STATE,5,2,"15,00,000"
2010,STATE,6,2,"2,74,70,000"
2010,STATE,8,2,"19,04,000"
2010,STATE,12,2,"1,38,00,000"
2010,STATE,13,2,"25,30,000"
2010,STATE,15,2,"7,70,000"
2010,STATE,16,2,"26,19,000"
2010,STATE,17,2,"3,69,000"
2010,STATE,18,2,"4,30,000"
2010,STATE,19,2,"13,23,000"
2010,STATE,20,2,"4,68,000"
2010,STATE,21,2,"3,35,000"
2010,STATE,22,2,"28,80,000"
2010,STATE,23,2,"2,05,000"
2010,STATE,26,2,"41,18,000"
2010,STATE,27,2,"84,48,000"
2010,STATE,28,2,"15,68,000"
2010,STATE,29,2,"5,72,000"
2010,STATE,30,2,"1,16,18,000"
2010,STATE,31,2,"22,55,000"
2010,STATE,34,2,"4,55,000"
2010,STATE,35,2,"4,62,000"
2010,STATE,36,2,"28,80,000"
2010,STATE,37,2,"5,98,000"
2010,STATE,38,2,"4,64,10,000"
2010,STATE,39,2,"11,16,000"
2010,STATE,41,2,"23,01,000"
2010,STATE,,2,"11,68,000"
2010,STATE,42,2,"11,10,000"
2010,STATE,46,2,"1,53,70,000"
2010,STATE,47,2,"5,04,000"
2010,STATE,48,2,"72,00,000"
2010,STATE,49,2,"7,80,000"
2010,STATE,50,2,"2,60,000"
2010,STATE,51,2,"1,85,000"
2010,STATE,53,2,"26,27,000"
2010,STATE,54,2,"2,00,000"
2010,STATE,55,2,"40,96,000"
2010,STATE,56,2,"12,24,000"
2009,STATE,1,2,"4,50,000"
2009,STATE,4,2,"10,40,000"
2009,STATE,5,2,"13,68,000"
2009,STATE,6,2,"1,17,15,000"
2009,STATE,8,2,"14,84,000"
2009,STATE,12,2,"1,15,60,000"
2009,STATE,13,2,"26,65,000"
2009,STATE,15,2,"9,50,000"
2009,STATE,16,2,"47,38,000"
2009,STATE,17,2,"2,72,000"
2009,STATE,18,2,"2,88,000"
2009,STATE,19,2,"10,92,000"
2009,STATE,20,2,"5,67,000"
2009,STATE,21,2,"1,75,000"
2009,STATE,22,2,"38,11,000"
2009,STATE,23,2,"3,00,000"
2009,STATE,26,2,"39,60,000"
2009,STATE,27,2,"79,30,000"
2009,STATE,28,2,"14,56,000"
2009,STATE,29,2,"5,17,000"
2009,STATE,30,2,"1,02,20,000"
2009,STATE,31,2,"26,88,000"
2009,STATE,34,2,"3,52,000"
2009,STATE,35,2,"4,20,000"
2009,STATE,36,2,"29,25,000"
2009,STATE,37,2,"4,95,000"
2009,STATE,38,2,"3,46,50,000"
2009,STATE,39,2,"5,50,000"
2009,STATE,41,2,"18,70,000"
2009,STATE,,2,"13,48,000"
2009,STATE,42,2,"8,40,000"
2009,STATE,46,2,"1,78,20,000"
2009,STATE,47,2,"3,57,000"
2009,STATE,48,2,"56,07,000"
2009,STATE,49,2,"9,88,000"
2009,STATE,50,2,"2,45,000"
2009,STATE,51,2,"2,34,000"
2009,STATE,53,2,"27,28,000"
2009,STATE,54,2,"1,85,000"
2009,STATE,55,2,"37,80,000"
2009,STATE,56,2,"17,76,000"
2008,STATE,1,2,"5,94,000"
2008,STATE,4,2,"16,00,000"
2008,STATE,5,2,"21,00,000"
2008,STATE,6,2,"1,83,60,000"
2008,STATE,8,2,"12,15,000"
2008,STATE,12,2,"1,18,50,000"
2008,STATE,13,2,"46,15,000"
2008,STATE,15,2,"9,00,000"
2008,STATE,16,2,"36,00,000"
2008,STATE,17,2,"4,48,000"
2008,STATE,18,2,"4,69,000"
2008,STATE,19,2,"14,88,000"
2008,STATE,20,2,"6,10,000"
2008,STATE,21,2,"1,56,000"
2008,STATE,22,2,"30,80,000"
2008,STATE,23,2,"2,94,000"
2008,STATE,26,2,"51,83,000"
2008,STATE,27,2,"95,16,000"
2008,STATE,28,2,"13,72,000"
2008,STATE,29,2,"5,83,000"
2008,STATE,30,2,"93,80,000"
2008,STATE,31,2,"24,12,000"
2008,STATE,32,2,"2,90,000"
2008,STATE,34,2,"3,60,000"
2008,STATE,35,2,"2,88,000"
2008,STATE,36,2,"35,00,000"
2008,STATE,37,2,"6,24,000"
2008,STATE,38,2,"3,60,00,000"
2008,STATE,39,2,"7,42,000"
2008,STATE,41,2,"21,50,000"
2008,STATE,,2,"8,17,000"
2008,STATE,42,2,"11,04,000"
2008,STATE,46,2,"2,13,75,000"
2008,STATE,47,2,"4,27,000"
2008,STATE,48,2,"49,28,000"
2008,STATE,49,2,"13,44,000"
2008,STATE,50,2,"3,30,000"
2008,STATE,51,2,"2,52,000"
2008,STATE,53,2,"21,56,000"
2008,STATE,54,2,"2,58,000"
2008,STATE,55,2,"46,40,000"
2008,STATE,56,2,"23,79,000"
2007,STATE,1,2,"6,16,000"
2007,STATE,4,2,"19,20,000"
2007,STATE,5,2,"22,40,000"
2007,STATE,6,2,"1,36,00,000"
2007,STATE,8,2,"15,81,000"
2007,STATE,12,2,"1,13,60,000"
2007,STATE,13,2,"34,80,000"
2007,STATE,15,2,"9,20,000"
2007,STATE,16,2,"37,72,000"
2007,STATE,17,2,"5,67,000"
2007,STATE,18,2,"4,24,000"
2007,STATE,19,2,"21,06,000"
2007,STATE,20,2,"5,60,000"
2007,STATE,21,2,"2,44,000"
2007,STATE,22,2,"25,81,000"
2007,STATE,23,2,"2,34,000"
2007,STATE,26,2,"46,08,000"
2007,STATE,27,2,"88,40,000"
2007,STATE,28,2,"13,80,000"
2007,STATE,29,2,"6,44,000"
2007,STATE,30,2,"91,80,000"
2007,STATE,31,2,"22,05,000"
2007,STATE,32,2,"2,80,000"
2007,STATE,34,2,"5,13,000"
2007,STATE,35,2,"3,54,000"
2007,STATE,36,2,"30,21,000"
2007,STATE,37,2,"5,40,000"
2007,STATE,38,2,"3,10,80,000"
2007,STATE,39,2,"8,54,000"
2007,STATE,41,2,"19,78,000"
2007,STATE,,2,"7,20,000"
2007,STATE,42,2,"10,50,000"
2007,STATE,46,2,"1,32,60,000"
2007,STATE,47,2,"4,55,000"
2007,STATE,48,2,"86,10,000"
2007,STATE,49,2,"11,76,000"
2007,STATE,50,2,"3,20,000"
2007,STATE,51,2,"2,76,000"
2007,STATE,53,2,"20,24,000"
2007,STATE,54,2,"2,88,000"
2007,STATE,55,2,"50,40,000"
2007,STATE,56,2,"34,40,000"
2006,STATE,1,2,"7,92,000"
2006,STATE,4,2,"19,50,000"
2006,STATE,5,2,"24,32,000"
2006,STATE,6,2,"1,97,60,000"
2006,STATE,8,2,"27,00,000"
2006,STATE,12,2,"1,37,70,000"
2006,STATE,13,2,"46,62,000"
2006,STATE,15,2,"9,30,000"
2006,STATE,16,2,"41,80,000"
2006,STATE,17,2,"6,60,000"
2006,STATE,18,2,"3,78,000"
2006,STATE,19,2,"21,84,000"
2006,STATE,20,2,"7,70,000"
2006,STATE,21,2,"2,80,000"
2006,STATE,22,2,"27,00,000"
2006,STATE,23,2,"2,53,000"
2006,STATE,26,2,"39,60,000"
2006,STATE,27,2,"1,00,00,000"
2006,STATE,28,2,"13,72,000"
2006,STATE,29,2,"6,90,000"
2006,STATE,30,2,"1,04,28,000"
2006,STATE,31,2,"34,31,000"
2006,STATE,32,2,"3,33,000"
2006,STATE,34,2,"3,24,000"
2006,STATE,35,2,"3,36,000"
2006,STATE,36,2,"37,12,000"
2006,STATE,37,2,"5,00,000"
2006,STATE,38,2,"2,59,00,000"
2006,STATE,39,2,"7,84,000"
2006,STATE,41,2,"22,08,000"
2006,STATE,,2,"6,72,000"
2006,STATE,42,2,"11,20,000"
2006,STATE,46,2,"1,05,75,000"
2006,STATE,47,2,"3,85,000"
2006,STATE,48,2,"57,40,000"
2006,STATE,49,2,"13,00,000"
2006,STATE,50,2,"3,36,000"
2006,STATE,51,2,"3,36,000"
2006,STATE,53,2,"25,48,000"
2006,STATE,54,2,"2,52,000"
2006,STATE,55,2,"59,52,000"
2006,STATE,56,2,"33,15,000"
2005,STATE,1,2,"8,58,000"
2005,STATE,4,2,"18,00,000"
2005,STATE,5,2,"24,84,000"
2005,STATE,6,2,"3,00,00,000"
2005,STATE,8,2,"19,60,000"
2005,STATE,12,2,"1,37,60,000"
2005,STATE,13,2,"28,91,000"
2005,STATE,15,2,"11,79,000"
2005,STATE,16,2,"35,15,000"
2005,STATE,17,2,"6,80,000"
2005,STATE,18,2,"5,12,000"
