Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Quantity
2022,JAN,STATE,35,5,TOTAL,"63,40,00,000"
2022,JAN,STATE,36,5,TOTAL,"1,29,60,00,000"
2022,JAN,STATE,39,5,TOTAL,"46,30,00,000"
2022,JAN,STATE,41,5,TOTAL,"21,90,00,000"
2022,JAN,STATE,42,5,TOTAL,"84,70,00,000"
2022,JAN,STATE,46,5,TOTAL,"33,00,00,000"
2022,JAN,STATE,48,5,TOTAL,"1,37,80,00,000"
2022,JAN,STATE,49,5,TOTAL,"18,20,00,000"
2022,JAN,STATE,50,5,TOTAL,"21,60,00,000"
2022,JAN,STATE,51,5,TOTAL,"12,50,00,000"
2022,JAN,STATE,53,5,TOTAL,"52,70,00,000"
2022,JAN,STATE,55,5,TOTAL,"2,66,70,00,000"
2022,JUL,STATE,4,5,TOTAL,"37,50,00,000"
2022,JUL,STATE,6,5,TOTAL,"3,52,10,00,000"
2022,JUL,STATE,8,5,TOTAL,"45,70,00,000"
2022,JUL,STATE,12,5,TOTAL,"15,40,00,000"
2022,JUL,STATE,13,5,TOTAL,"16,70,00,000"
2022,JUL,STATE,16,5,TOTAL,"1,46,20,00,000"
2022,JUL,STATE,17,5,TOTAL,"14,20,00,000"
2022,JUL,STATE,18,5,TOTAL,"36,60,00,000"
2022,JUL,STATE,19,5,TOTAL,"49,10,00,000"
2022,JUL,STATE,20,5,TOTAL,"34,80,00,000"
2022,JUL,STATE,26,5,TOTAL,"99,70,00,000"
2022,JUL,STATE,27,5,TOTAL,"90,10,00,000"
2022,JUL,STATE,35,5,TOTAL,"59,30,00,000"
2022,JUL,STATE,36,5,TOTAL,"1,33,60,00,000"
2022,JUL,STATE,39,5,TOTAL,"46,70,00,000"
2022,JUL,STATE,41,5,TOTAL,"22,80,00,000"
2022,JUL,STATE,42,5,TOTAL,"83,60,00,000"
2022,JUL,STATE,46,5,TOTAL,"36,10,00,000"
2022,JUL,STATE,48,5,TOTAL,"1,38,10,00,000"
2022,JUL,STATE,49,5,TOTAL,"19,00,00,000"
2022,JUL,STATE,50,5,TOTAL,"21,60,00,000"
2022,JUL,STATE,51,5,TOTAL,"11,70,00,000"
2022,JUL,STATE,53,5,TOTAL,"53,20,00,000"
2022,JUL,STATE,55,5,TOTAL,"2,73,50,00,000"
2022,JUN,STATE,4,5,TOTAL,"39,80,00,000"
2022,JUN,STATE,6,5,TOTAL,"3,47,00,00,000"
2022,JUN,STATE,8,5,TOTAL,"44,60,00,000"
2022,JUN,STATE,12,5,TOTAL,"16,20,00,000"
2022,JUN,STATE,13,5,TOTAL,"16,60,00,000"
2022,JUN,STATE,16,5,TOTAL,"1,40,50,00,000"
