track_id,track_name,artist_name,artist_count,realeased_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts
176,Sure Thing,Miguel,1,25-05-2010,13801,19,950906471,137,125
177,Every Breath You Take - Remastered 2003,The Police,1,06-01-1983,22439,19,1593270737,211,74
178,The Night We Met,Lord Huron,1,02-02-2015,18515,35,1410088830,70,82
179,We Found Love,"Rihanna, Calvin Harris",2,01-01-2011,36843,21,1235005533,321,91
180,When I Was Your Man,Bruno Mars,1,05-12-2012,2420,11,1661187319,0,0
181,Let Me Down Slowly,Alec Benjamin,1,25-05-2018,5897,19,1374581173,0,0
182,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,02-06-2023,727,16,94186466,17,60
183,Do I Wanna Know?,Arctic Monkeys,1,01-01-2013,33783,26,1788326445,133,92
184,Demons,Imagine Dragons,1,01-01-2012,26694,13,1840364617,65,82
185,            ,YOASOBI,1,12-04-2023,356,16,143573775,35,102
186,Reminder,The Weeknd,1,25-11-2016,6518,17,684675814,45,85
187,Shake It Off,Taylor Swift,1,01-01-2014,21335,13,1113838873,328,70
188,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,01-01-2013,23389,29,1267333350,54,70
189,SNAP,Rosa Linn,1,19-03-2022,3202,18,726307468,148,80
190,Shape of You,Ed Sheeran,1,06-01-2017,32181,10,3562543890,33,0
191,Night Changes,One Direction,1,17-11-2014,7124,18,1131090940,60,20
192,Fin de Semana,"Oscar Maydon, Junior H",2,13-01-2023,592,14,307370144,11,84
193,Creep,Radiohead,1,21-09-1992,36724,7,1271293243,146,72
194,Car's Outside,James Arthur,1,18-10-2019,794,10,265882712,38,25
195,Apocalypse,Cigarettes After Sex,1,21-03-2017,13091,17,841749534,61,96
196,Cheques,Shubh,1,19-05-2023,67,8,47956378,7,10
197,Pink + White,Frank Ocean,1,20-08-2016,21574,30,806397070,112,68
198,Circles,Post Malone,1,30-08-2019,19664,16,2132335812,391,73
199,Just The Way You Are,Bruno Mars,1,01-01-2010,21106,13,1641426668,82,0
200,Take Me To Church,Hozier,1,13-09-2013,23804,31,2135158446,187,99
201,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,16-12-2022,849,22,367316268,27,129
202,You Belong With Me (Taylor   s Ve,Taylor Swift,1,09-04-2021,2619,12,350381515,47,90
203,Titi Me Pregunti,Bad Bunny,1,06-05-2022,9037,42,1264310836,124,133
204,Better Than Revenge (Taylor's Version),Taylor Swift,1,07-07-2023,86,11,30343206,3,33
205,Shut up My Moms Calling,Hotel Ugly,1,10-02-2020,1788,14,405136812,1,50
206,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,01-07-1968,15890,14,1145727611,71,37
207,Es un Secreto,Plan B,1,20-07-2010,492,36,540654286,4,3
208,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,08-06-2023,773,33,57312735,20,46
209,Ditto,NewJeans,1,19-12-2022,1154,22,397582059,28,125
210,Take On Me,a-ha,1,19-10-1984,44927,17,1479115056,34,0
211,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,02-06-2023,551,4,86773632,13,46
212,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,01-05-2023,577,14,133753727,22,18
213,Acr  s,Shakira,1,11-05-2023,955,29,123124076,37,50
214,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,24-11-2022,995,19,463564958,12,117
215,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,15-05-2023,178,6,64533040,6,71
