Years,Geo_Level,State_ANSI,Commodity_ID,Quantity
2013,STATE,26,2,4675000
2013,STATE,27,2,7540000
2013,STATE,28,2,1972000
2013,STATE,29,2,470000
2013,STATE,30,2,14946000
2013,STATE,31,2,2760000
2013,STATE,34,2,484000
2013,STATE,36,2,2640000
2013,STATE,37,2,380000
2013,STATE,38,2,33120000
2013,STATE,39,2,765000
2013,STATE,41,2,2170000
2013,STATE,,2,1295000
2013,STATE,42,2,585000
2013,STATE,46,2,14840000
2013,STATE,47,2,315000
2013,STATE,48,2,6254000
2013,STATE,49,2,1020000
2013,STATE,50,2,204000
2013,STATE,51,2,175000
2013,STATE,53,2,2691000
2013,STATE,54,2,276000
2013,STATE,55,2,3540000
2013,STATE,56,2,3102000
2012,STATE,1,2,432000
2012,STATE,4,2,1012000
2012,STATE,5,2,1575000
2012,STATE,6,2,11550000
2012,STATE,8,2,1200000
2012,STATE,12,2,12352000
2012,STATE,13,2,3009000
2012,STATE,15,2,750000
2012,STATE,16,2,2944000
2012,STATE,17,2,427000
2012,STATE,18,2,472000
2012,STATE,19,2,2257000
2012,STATE,20,2,330000
2012,STATE,21,2,255000
2012,STATE,22,2,3526000
2012,STATE,23,2,136000
2012,STATE,26,2,4161000
2012,STATE,27,2,8375000
2012,STATE,28,2,2124000
2012,STATE,29,2,371000
2012,STATE,30,2,7540000
2012,STATE,31,2,2795000
2012,STATE,34,2,462000
2012,STATE,35,2,260000
2012,STATE,36,2,2601000
2012,STATE,37,2,507000
2012,STATE,38,2,33120000
2012,STATE,39,2,1080000
2012,STATE,41,2,1920000
2012,STATE,,2,1389000
2012,STATE,42,2,960000
2012,STATE,46,2,16380000
2012,STATE,47,2,366000
2012,STATE,48,2,4784000
2012,STATE,49,2,950000
2012,STATE,50,2,240000
2012,STATE,51,2,164000
2012,STATE,53,2,2542000
2012,STATE,54,2,288000
2012,STATE,55,2,4140000
2012,STATE,56,2,2550000
2011,STATE,1,2,450000
2011,STATE,4,2,1219000
2011,STATE,5,2,1408000
2011,STATE,6,2,17760000
2011,STATE,8,2,1705000
2011,STATE,12,2,10980000
2011,STATE,13,2,2795000
2011,STATE,15,2,666000
2011,STATE,16,2,3132000
2011,STATE,17,2,350000
2011,STATE,18,2,408000
2011,STATE,19,2,1550000
2011,STATE,20,2,308000
2011,STATE,21,2,156000
2011,STATE,22,2,2772000
2011,STATE,23,2,120000
2011,STATE,26,2,4736000
2011,STATE,27,2,6360000
2011,STATE,28,2,2070000
2011,STATE,29,2,344000
2011,STATE,30,2,13340000
2011,STATE,31,2,2419000
2011,STATE,34,2,451000
2011,STATE,35,2,392000
2011,STATE,36,2,2744000
2011,STATE,37,2,868000
2011,STATE,38,2,32660000
2011,STATE,39,2,990000
2011,STATE,41,2,2040000
2011,STATE,,2,1156000
2011,STATE,42,2,1056000
2011,STATE,46,2,16500000
2011,STATE,47,2,308000
2011,STATE,48,2,4524000
2011,STATE,49,2,897000
2011,STATE,50,2,172000
2011,STATE,51,2,160000
2011,STATE,53,2,2698000
2011,STATE,54,2,212000
2011,STATE,55,2,3591000
2011,STATE,56,2,1890000
2010,STATE,1,2,486000
2010,STATE,4,2,1848000
2010,STATE,5,2,1500000
2010,STATE,6,2,27470000
2010,STATE,8,2,1904000
2010,STATE,12,2,13800000
2010,STATE,13,2,2530000
2010,STATE,15,2,770000
2010,STATE,16,2,2619000
2010,STATE,17,2,369000
2010,STATE,18,2,430000
2010,STATE,19,2,1323000
2010,STATE,20,2,468000
2010,STATE,21,2,335000
2010,STATE,22,2,2880000
2010,STATE,23,2,205000
2010,STATE,26,2,4118000
2010,STATE,27,2,8448000
2010,STATE,28,2,1568000
2010,STATE,29,2,572000
2010,STATE,30,2,11618000
2010,STATE,31,2,2255000
2010,STATE,34,2,455000
2010,STATE,35,2,462000
2010,STATE,36,2,2880000
2010,STATE,37,2,598000
2010,STATE,38,2,46410000
2010,STATE,39,2,1116000
2010,STATE,41,2,2301000
2010,STATE,,2,1168000
2010,STATE,42,2,1110000
2010,STATE,46,2,15370000
2010,STATE,47,2,504000
2010,STATE,48,2,7200000
2010,STATE,49,2,780000
2010,STATE,50,2,260000
2010,STATE,51,2,185000
2010,STATE,53,2,2627000
2010,STATE,54,2,200000
2010,STATE,55,2,4096000
2010,STATE,56,2,1224000
2009,STATE,1,2,450000
2009,STATE,4,2,1040000
2009,STATE,5,2,1368000
2009,STATE,6,2,11715000
2009,STATE,8,2,1484000
2009,STATE,12,2,11560000
2009,STATE,13,2,2665000
2009,STATE,15,2,950000
2009,STATE,16,2,4738000
2009,STATE,17,2,272000
2009,STATE,18,2,288000
2009,STATE,19,2,1092000
2009,STATE,20,2,567000
2009,STATE,21,2,175000
2009,STATE,22,2,3811000
2009,STATE,23,2,300000
2009,STATE,26,2,3960000
2009,STATE,27,2,7930000
2009,STATE,28,2,1456000
2009,STATE,29,2,517000
2009,STATE,30,2,10220000
2009,STATE,31,2,2688000
2009,STATE,34,2,352000
2009,STATE,35,2,420000
2009,STATE,36,2,2925000
2009,STATE,37,2,495000
2009,STATE,38,2,34650000
2009,STATE,39,2,550000
2009,STATE,41,2,1870000
2009,STATE,,2,1348000
2009,STATE,42,2,840000
2009,STATE,46,2,17820000
2009,STATE,47,2,357000
2009,STATE,48,2,5607000
2009,STATE,49,2,988000
2009,STATE,50,2,245000
2009,STATE,51,2,234000
2009,STATE,53,2,2728000
2009,STATE,54,2,185000
2009,STATE,55,2,3780000
2009,STATE,56,2,1776000
2008,STATE,1,2,594000
2008,STATE,4,2,1600000
2008,STATE,5,2,2100000
2008,STATE,6,2,18360000
2008,STATE,8,2,1215000
2008,STATE,12,2,11850000
2008,STATE,13,2,4615000
2008,STATE,15,2,900000
2008,STATE,16,2,3600000
2008,STATE,17,2,448000
2008,STATE,18,2,469000
2008,STATE,19,2,1488000
2008,STATE,20,2,610000
2008,STATE,21,2,156000
2008,STATE,22,2,3080000
2008,STATE,23,2,294000
2008,STATE,26,2,5183000
2008,STATE,27,2,9516000
2008,STATE,28,2,1372000
2008,STATE,29,2,583000
2008,STATE,30,2,9380000
2008,STATE,31,2,2412000
2008,STATE,32,2,290000
2008,STATE,34,2,360000
2008,STATE,35,2,288000
2008,STATE,36,2,3500000
2008,STATE,37,2,624000
2008,STATE,38,2,36000000
2008,STATE,39,2,742000
2008,STATE,41,2,2150000
2008,STATE,,2,817000
2008,STATE,42,2,1104000
2008,STATE,46,2,21375000
2008,STATE,47,2,427000
2008,STATE,48,2,4928000
2008,STATE,49,2,1344000
2008,STATE,50,2,330000
2008,STATE,51,2,252000
2008,STATE,53,2,2156000
2008,STATE,54,2,258000
2008,STATE,55,2,4640000
2008,STATE,56,2,2379000
2007,STATE,1,2,616000
2007,STATE,4,2,1920000
2007,STATE,5,2,2240000
2007,STATE,6,2,13600000
2007,STATE,8,2,1581000
2007,STATE,12,2,11360000
2007,STATE,13,2,3480000
2007,STATE,15,2,920000
2007,STATE,16,2,3772000
2007,STATE,17,2,567000
2007,STATE,18,2,424000
2007,STATE,19,2,2106000
2007,STATE,20,2,560000
2007,STATE,21,2,244000
2007,STATE,22,2,2581000
2007,STATE,23,2,234000
2007,STATE,26,2,4608000
2007,STATE,27,2,8840000
2007,STATE,28,2,1380000
2007,STATE,29,2,644000
2007,STATE,30,2,9180000
2007,STATE,31,2,2205000
2007,STATE,32,2,280000
2007,STATE,34,2,513000
2007,STATE,35,2,354000
2007,STATE,36,2,3021000
2007,STATE,37,2,540000
2007,STATE,38,2,31080000
2007,STATE,39,2,854000
2007,STATE,41,2,1978000
2007,STATE,,2,720000
2007,STATE,42,2,1050000
2007,STATE,46,2,13260000
2007,STATE,47,2,455000
2007,STATE,48,2,8610000
2007,STATE,49,2,1176000
2007,STATE,50,2,320000
2007,STATE,51,2,276000
2007,STATE,53,2,2024000
2007,STATE,54,2,288000
2007,STATE,55,2,5040000
2007,STATE,56,2,3440000
2006,STATE,1,2,792000
2006,STATE,4,2,1950000
2006,STATE,5,2,2432000
2006,STATE,6,2,19760000
2006,STATE,8,2,2700000
2006,STATE,12,2,13770000
2006,STATE,13,2,4662000
2006,STATE,15,2,930000
2006,STATE,16,2,4180000
2006,STATE,17,2,660000
2006,STATE,18,2,378000
2006,STATE,19,2,2184000
2006,STATE,20,2,770000
2006,STATE,21,2,280000
2006,STATE,22,2,2700000
2006,STATE,23,2,253000
2006,STATE,26,2,3960000
2006,STATE,27,2,10000000
2006,STATE,28,2,1372000
2006,STATE,29,2,690000
2006,STATE,30,2,10428000
2006,STATE,31,2,3431000
2006,STATE,32,2,333000
2006,STATE,34,2,324000
2006,STATE,35,2,336000
2006,STATE,36,2,3712000
2006,STATE,37,2,500000
2006,STATE,38,2,25900000
2006,STATE,39,2,784000
2006,STATE,41,2,2208000
2006,STATE,,2,672000
2006,STATE,42,2,1120000
2006,STATE,46,2,10575000
2006,STATE,47,2,385000
2006,STATE,48,2,5740000
2006,STATE,49,2,1300000
2006,STATE,50,2,336000
2006,STATE,51,2,336000
2006,STATE,53,2,2548000
2006,STATE,54,2,252000
2006,STATE,55,2,5952000
